Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322057777715,38,F,8500.00,SC,22.0000,170,2022-06-01,159,200000.00,230000.00,14,4,0,1,SOLTEIRO(A),Nenhum,N,0.00,3,71,234064.38,12982.52,Nao
322057780715,47,F,1200.00,BA,18.0000,25,2022-06-01,10,11000.00,12650.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,16,468,12800.79,530.22,Sim
322057786715,82,F,2300.00,SP,28.0000,48,2022-06-01,36,10000.00,11500.00,1,1,0,1,VIÚVO(A),NULL,N,0.00,16,468,13101.68,275.00,Sim
322057794715,21,F,1684.20,SP,21.0000,50,2022-06-10,37,10000.00,11500.00,15,3,1,2,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,4299.36,8374.05,Nao
322057795715,64,M,3500.00,SP,24.0000,25,2022-06-01,8,3000.00,3450.00,1,1,0,0,CASADO (A),NULL,N,0.00,16,468,3785.15,153.60,Sim
322057798715,52,M,15000.00,MG,18.0000,90,2022-06-01,76,80000.00,92000.00,15,12,0,2,CASADO (A),NULL,N,0.00,0,NULL,34551.69,61209.66,Nao
322057799715,33,M,5000.00,SP,20.0000,100,2022-06-03,84,35000.00,40250.00,5,5,0,1,OUTRO,NULL,N,0.00,12,344,40133.05,2030.30,Sim
322057800715,52,M,15000.00,MG,18.0000,90,2022-06-01,76,80000.00,92000.00,15,12,0,4,CASADO (A),NULL,N,0.00,0,NULL,34550.50,61210.81,Nao
322057801715,51,M,3500.00,MG,18.0000,35,2022-06-01,19,18000.00,20700.00,15,12,0,3,CASADO (A),NULL,N,0.00,0,NULL,6615.34,15542.92,Nao
322057803715,52,M,15000.00,MG,18.0000,90,2022-06-01,76,80000.00,92000.00,15,12,0,2,CASADO (A),NULL,N,0.00,0,NULL,34551.69,61209.66,Nao
322057804715,52,M,15000.00,MG,18.0000,90,2022-06-01,76,80000.00,92000.00,15,12,0,2,CASADO (A),NULL,N,0.00,0,NULL,34551.69,61209.66,Nao
322057807715,28,M,3500.00,SP,21.0000,60,2022-06-13,68,40000.00,46000.00,2,2,0,1,SOLTEIRO(A),NULL,N,0.00,15,435,47895.71,1293.36,Sim
322057810715,30,F,3000.00,RN,20.0000,100,2022-06-03,84,40000.00,46000.00,7,6,1,0,SOLTEIRO(A),NULL,N,0.00,10,284,45289.83,3585.05,Sim
322057811715,67,F,1500.00,CE,21.0000,60,2022-06-01,84,30000.00,34500.00,1,1,0,1,CASADO (A),NULL,N,0.00,15,435,36456.59,360.00,Sim
322057812715,39,M,6000.00,PE,16.0000,60,2022-06-01,75,60000.00,69000.00,17,7,0,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,50309.98,21490.88,Nao
322057813715,32,F,6000.00,MA,18.0000,100,2022-06-02,85,110000.00,126500.00,3,2,0,0,SOLTEIRO(A),NULL,N,0.00,13,376,127655.08,3927.00,Sim
322057814715,45,M,3000.00,MG,20.0000,100,2022-06-01,84,25000.00,28750.00,9,1,4,1,SOLTEIRO(A),NULL,N,0.00,8,225,27674.45,2924.25,Sim
322057815715,37,F,2500.00,SP,20.0000,90,2022-06-01,84,40000.00,46000.00,2,2,0,0,SOLTEIRO(A),NULL,N,0.00,15,435,47774.90,1091.78,Sim
322057818715,31,F,3600.00,GO,24.0000,25,2022-07-01,10,14000.00,16100.00,15,5,7,2,SOLTEIRO(A),NULL,N,0.00,1,11,5790.91,13088.57,Nao
322057819715,19,M,1200.00,MG,18.0000,20,2022-06-01,3,8000.00,9200.00,14,5,5,3,SOLTEIRO(A),NULL,N,0.00,1,11,1506.25,8775.23,Nao
322057821715,83,M,2200.00,BA,20.0000,100,2022-06-01,84,25000.00,28750.00,6,4,2,1,VIÚVO(A),Nenhum,N,0.00,11,315,28279.85,2170.32,Sim
322057822715,47,M,2500.00,DF,21.0000,80,2022-06-03,84,40000.00,46000.00,17,13,1,2,CASADO (A),Nenhum,N,0.00,0,NULL,40478.08,8262.07,Nao
322057824715,42,F,2000.00,SC,21.0000,60,2022-06-01,49,20000.00,23000.00,1,1,0,0,CASADO (A),NULL,N,0.00,16,468,24522.37,414.13,Sim
322057825715,55,F,3300.00,PE,20.0000,100,2022-06-01,84,45000.00,51750.00,15,4,4,3,CASADO (A),NULL,N,0.00,0,NULL,28312.26,26784.60,Nao
322057827715,42,F,2000.00,MS,25.0000,80,2022-06-02,66,15000.00,17250.00,16,12,0,3,SOLTEIRO(A),Nenhum,N,0.00,1,251,15239.64,4126.13,Nao
322057829715,27,M,1800.00,BA,21.0000,60,2022-06-03,84,25000.00,28750.00,16,13,2,4,SOLTEIRO(A),NULL,N,0.00,0,NULL,8601.53,23834.00,Nao
322057830715,53,F,2424.00,AM,18.0000,80,2022-06-01,84,40000.00,46000.00,2,1,1,0,SOLTEIRO(A),Nenhum,N,0.00,15,435,46892.79,1206.00,Sim
322057831715,32,M,6000.00,ES,26.0000,240,2022-06-02,227,160000.00,184000.00,9,5,0,0,SOLTEIRO(A),Nenhum,N,0.00,8,225,195851.28,8091.84,Sim
322057832715,42,M,6000.00,BA,26.0000,240,2022-06-20,227,170000.00,195500.00,17,3,0,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,200609.04,16629.44,Nao
322057833715,32,M,9000.00,SP,18.0000,100,2022-06-08,89,70000.00,80500.00,17,5,4,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,69138.79,15530.99,Nao
322057834715,46,M,3558.00,MG,18.0000,35,2022-06-01,19,14000.00,16100.00,17,6,2,4,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,4929.08,12299.09,Nao
322057835715,21,M,2200.00,MG,18.0000,35,2022-06-03,19,15000.00,17250.00,15,15,0,2,SOLTEIRO(A),NULL,N,0.00,0,NULL,7426.35,11431.77,Nao
322057836715,22,F,1889.43,CE,23.0000,200,2022-06-01,193,100000.00,115000.00,1,1,0,1,SOLTEIRO(A),Nenhum,N,0.00,16,468,123867.87,370.00,Sim
322057837715,37,M,4000.00,RS,17.0000,200,2022-06-01,221,180000.00,207000.00,4,3,1,3,DIVORCIADO,NULL,N,0.00,12,376,207755.58,3891.60,Sim
322057839715,31,F,2514.68,RJ,25.0000,80,2022-06-06,66,17000.00,19550.00,6,4,1,0,SOLTEIRO(A),Nenhum,N,0.00,11,315,20130.94,1695.23,Sim
322057841715,45,M,6000.00,SP,18.0000,140,2022-06-01,129,270000.00,310500.00,17,1,1,2,CASADO (A),Nenhum,N,0.00,0,NULL,290164.07,31253.96,Nao
322057844715,34,M,3000.00,PI,23.0000,200,2022-06-01,221,130000.00,149500.00,1,1,0,1,SOLTEIRO(A),Nenhum,N,0.00,15,435,161008.37,481.00,Sim
322057848715,30,F,2000.00,RJ,23.0000,200,2022-06-07,193,100000.00,115000.00,2,2,0,1,SOLTEIRO(A),Nenhum,N,0.00,15,435,123807.66,781.66,Sim
322057849715,32,F,2500.00,GO,24.0000,36,2022-06-02,23,5000.00,5750.00,9,4,4,0,CASADO (A),Nenhum,N,0.00,8,225,4856.81,1691.00,Sim
322057851715,47,M,3700.00,CE,20.0000,100,2022-07-01,84,50000.00,57500.00,4,4,0,0,CASADO (A),Nenhum,N,0.00,12,344,58496.76,2514.34,Sim
322057852715,32,F,4000.00,RJ,20.0000,90,2022-06-02,84,40000.00,46000.00,16,11,2,0,SOLTEIRO(A),NULL,N,0.00,1,11,39808.19,9225.15,Nao
322057853715,45,F,1500.00,PR,21.0000,50,2022-06-02,37,12000.00,13800.00,7,4,1,0,SOLTEIRO(A),Nenhum,N,0.00,10,284,12837.27,2171.36,Sim
322057854715,63,F,2800.00,GO,21.0000,40,2022-06-01,25,12000.00,13800.00,3,1,1,1,VIÚVO(A),NULL,N,0.00,14,406,13905.29,1114.44,Sim
322057855715,63,F,3500.00,SC,24.0000,36,2022-06-01,23,6000.00,6900.00,4,3,1,1,SOLTEIRO(A),NULL,N,0.00,12,344,6945.03,881.57,Sim
322057857715,26,F,20000.00,CE,24.0000,25,2022-06-01,8,5000.00,5750.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,16,468,6326.58,257.08,Sim
322057858715,52,M,3500.00,SP,20.0000,100,2022-06-01,84,40000.00,46000.00,4,1,2,2,CASADO (A),NULL,N,0.00,10,284,46487.96,1622.83,Sim
322057859715,53,M,3900.00,SP,21.0000,60,2022-06-01,75,60000.00,69000.00,17,15,0,1,CASADO (A),NULL,N,0.00,0,NULL,60960.04,13316.88,Nao
322057860715,20,F,2250.34,SP,23.0000,60,2022-06-01,66,15000.00,17250.00,3,3,0,0,SOLTEIRO(A),NULL,N,0.00,14,406,18033.89,946.95,Sim
322057861715,25,M,4000.00,SP,18.0000,80,2022-06-04,84,45000.00,51750.00,2,2,0,0,SOLTEIRO(A),NULL,N,0.00,15,435,52754.38,1356.76,Sim
